[TD-Ludo Config] Mode: PROD
[TD-Ludo Config] Run: ac_v6_big | Dir: /Users/sumit/Github/AlphaLudo/td_ludo/checkpoints/ac_v6_big
[TD-Ludo Config] LR: 1e-05 | Entropy: 0.005 | Temp: 1.1→0.95
[TD-Ludo Config] Ghosts: every 2000 games | Batch: 512
[Train] Device: mps
[Train] Mode: PROD
[Train] Architecture: AlphaLudoV6-Big (128ch, 10res, 2,990,917 params)
[Trainer] Loaded full checkpoint: 323186 games, 332445 updates
[Train] Resumed from checkpoint (323186 games, 332445 updates)
[Elo] Loaded 223 ratings
[Train] Elo Tracker initialized (Main: 1500)
[Train] Game DB initialized (430134 games recorded)
[Dashboard] Server started at http://localhost:8787

============================================================
  TD-Ludo Actor-Critic Training — PROD Mode
  Algorithm: PPO (Proximal Policy Optimization)
  Checkpoints: /Users/sumit/Github/AlphaLudo/td_ludo/checkpoints/ac_v6_big
  Eval: every 2000 games (500 games each)
  Ghost saves: every 2000 games
  Elo tracking: ON | Game DB: ON
  Batch Size: 512
  Ctrl+C to save and exit gracefully
============================================================

[G 323550] WR:  63.7% | Ent: 0.503 | τ: 0.95 | Elo: 1772 | GPM: 99 | loss
[Auto-save] Checkpoint saved (game 323637)
[G 323670] WR:  60.1% | Ent: 0.498 | τ: 0.95 | Elo: 1780 | GPM: 92 | WIN
[G 323680] WR:  60.1% | Ent: 0.498 | τ: 0.95 | Elo: 1789 | GPM: 93 | WIN
[G 323700] WR:  60.2% | Ent: 0.497 | τ: 0.95 | Elo: 1814 | GPM: 82 | WIN
[G 323700] WR:  60.2% | Ent: 0.497 | τ: 0.95 | Elo: 1818 | GPM: 82 | WIN
[G 323780] WR:  59.4% | Ent: 0.497 | τ: 0.95 | Elo: 1814 | GPM: 84 | WIN
[G 323780] WR:  59.6% | Ent: 0.497 | τ: 0.95 | Elo: 1816 | GPM: 83 | WIN
[G 323780] WR:  59.6% | Ent: 0.497 | τ: 0.95 | Elo: 1817 | GPM: 83 | WIN
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1768 | GPM: 86 | loss
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1769 | GPM: 86 | WIN
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1775 | GPM: 86 | WIN
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1770 | GPM: 86 | loss
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1772 | GPM: 86 | WIN
[G 323840] WR:  57.2% | Ent: 0.495 | τ: 0.95 | Elo: 1773 | GPM: 84 | WIN
[G 323840] WR:  57.2% | Ent: 0.495 | τ: 0.95 | Elo: 1769 | GPM: 84 | loss
[G 323850] WR:  57.2% | Ent: 0.495 | τ: 0.95 | Elo: 1768 | GPM: 85 | loss
[G 323850] WR:  57.4% | Ent: 0.495 | τ: 0.95 | Elo: 1770 | GPM: 85 | WIN
[G 323850] WR:  57.6% | Ent: 0.495 | τ: 0.95 | Elo: 1776 | GPM: 85 | WIN
[G 323900] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1815 | GPM: 84 | WIN
[G 323900] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1819 | GPM: 84 | WIN
[G 323900] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1813 | GPM: 84 | loss
[G 323910] WR:  58.0% | Ent: 0.494 | τ: 0.95 | Elo: 1813 | GPM: 85 | WIN
[G 323910] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1818 | GPM: 84 | WIN
[G 323910] WR:  58.4% | Ent: 0.494 | τ: 0.95 | Elo: 1822 | GPM: 84 | WIN
[G 323910] WR:  58.6% | Ent: 0.494 | τ: 0.95 | Elo: 1823 | GPM: 84 | WIN
[Auto-save] Checkpoint saved (game 324018)
[G 324040] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1781 | GPM: 84 | WIN
[G 324040] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1788 | GPM: 84 | WIN
[G 324060] WR:  59.0% | Ent: 0.494 | τ: 0.95 | Elo: 1790 | GPM: 85 | WIN
[G 324060] WR:  59.0% | Ent: 0.494 | τ: 0.95 | Elo: 1795 | GPM: 85 | WIN
[G 324060] WR:  59.0% | Ent: 0.494 | τ: 0.95 | Elo: 1796 | GPM: 85 | WIN
[G 324060] WR:  59.0% | Ent: 0.494 | τ: 0.95 | Elo: 1798 | GPM: 85 | WIN
[G 324110] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1801 | GPM: 85 | WIN
[G 324110] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1803 | GPM: 85 | WIN
[G 324120] WR:  61.2% | Ent: 0.493 | τ: 0.95 | Elo: 1810 | GPM: 85 | loss
[G 324130] WR:  60.8% | Ent: 0.493 | τ: 0.95 | Elo: 1795 | GPM: 86 | loss
[G 324130] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1790 | GPM: 86 | loss
[G 324130] WR:  60.4% | Ent: 0.493 | τ: 0.95 | Elo: 1785 | GPM: 86 | loss
[G 324140] WR:  60.8% | Ent: 0.493 | τ: 0.95 | Elo: 1803 | GPM: 87 | loss
[G 324140] WR:  60.8% | Ent: 0.493 | τ: 0.95 | Elo: 1805 | GPM: 87 | WIN
[G 324140] WR:  60.8% | Ent: 0.493 | τ: 0.95 | Elo: 1810 | GPM: 87 | WIN
[G 324150] WR:  61.4% | Ent: 0.493 | τ: 0.95 | Elo: 1799 | GPM: 81 | loss
[G 324170] WR:  61.0% | Ent: 0.493 | τ: 0.95 | Elo: 1798 | GPM: 83 | loss
[G 324170] WR:  61.2% | Ent: 0.493 | τ: 0.95 | Elo: 1800 | GPM: 83 | WIN
[G 324170] WR:  61.4% | Ent: 0.493 | τ: 0.95 | Elo: 1801 | GPM: 83 | WIN
[G 324170] WR:  61.4% | Ent: 0.493 | τ: 0.95 | Elo: 1808 | GPM: 82 | WIN
[G 324190] WR:  61.6% | Ent: 0.493 | τ: 0.95 | Elo: 1835 | GPM: 84 | loss
[G 324220] WR:  60.4% | Ent: 0.493 | τ: 0.95 | Elo: 1780 | GPM: 82 | WIN
[G 324220] WR:  60.4% | Ent: 0.493 | τ: 0.95 | Elo: 1786 | GPM: 82 | WIN
[G 324220] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1788 | GPM: 82 | WIN
[G 324230] WR:  60.8% | Ent: 0.493 | τ: 0.95 | Elo: 1802 | GPM: 82 | WIN
[G 324230] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1797 | GPM: 82 | loss
[G 324230] WR:  60.4% | Ent: 0.493 | τ: 0.95 | Elo: 1792 | GPM: 82 | loss
[G 324240] WR:  59.8% | Ent: 0.493 | τ: 0.95 | Elo: 1766 | GPM: 83 | WIN
[G 324240] WR:  60.0% | Ent: 0.493 | τ: 0.95 | Elo: 1768 | GPM: 83 | WIN
[G 324240] WR:  59.8% | Ent: 0.493 | τ: 0.95 | Elo: 1762 | GPM: 83 | loss
[G 324250] WR:  60.2% | Ent: 0.493 | τ: 0.95 | Elo: 1798 | GPM: 83 | WIN
[G 324250] WR:  60.4% | Ent: 0.493 | τ: 0.95 | Elo: 1800 | GPM: 83 | WIN
[G 324250] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1805 | GPM: 83 | WIN
[G 324250] WR:  60.4% | Ent: 0.493 | τ: 0.95 | Elo: 1800 | GPM: 83 | loss
[G 324260] WR:  60.8% | Ent: 0.493 | τ: 0.95 | Elo: 1821 | GPM: 84 | WIN
[G 324280] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1817 | GPM: 81 | loss
[G 324280] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1819 | GPM: 81 | WIN
[G 324280] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1823 | GPM: 81 | WIN
[G 324290] WR:  61.4% | Ent: 0.493 | τ: 0.95 | Elo: 1836 | GPM: 81 | WIN
[G 324290] WR:  61.4% | Ent: 0.493 | τ: 0.95 | Elo: 1830 | GPM: 81 | loss
[G 324300] WR:  61.6% | Ent: 0.493 | τ: 0.95 | Elo: 1824 | GPM: 82 | WIN
[G 324320] WR:  62.0% | Ent: 0.493 | τ: 0.95 | Elo: 1828 | GPM: 83 | loss
[G 324320] WR:  62.0% | Ent: 0.493 | τ: 0.95 | Elo: 1834 | GPM: 83 | WIN
[G 324320] WR:  62.2% | Ent: 0.493 | τ: 0.95 | Elo: 1839 | GPM: 83 | WIN
[G 324330] WR:  62.0% | Ent: 0.493 | τ: 0.95 | Elo: 1824 | GPM: 84 | loss
[G 324330] WR:  61.8% | Ent: 0.493 | τ: 0.95 | Elo: 1819 | GPM: 84 | loss
[G 324330] WR:  61.8% | Ent: 0.493 | τ: 0.95 | Elo: 1813 | GPM: 84 | loss
[G 324340] WR:  61.8% | Ent: 0.493 | τ: 0.95 | Elo: 1805 | GPM: 80 | loss
[G 324340] WR:  61.8% | Ent: 0.493 | τ: 0.95 | Elo: 1800 | GPM: 80 | loss
[G 324350] WR:  62.0% | Ent: 0.493 | τ: 0.95 | Elo: 1801 | GPM: 81 | WIN
[G 324390] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1795 | GPM: 83 | loss
[G 324390] WR:  60.6% | Ent: 0.493 | τ: 0.95 | Elo: 1786 | GPM: 83 | loss
[Auto-save] Checkpoint saved (game 324403)
[G 324450] WR:  59.2% | Ent: 0.492 | τ: 0.95 | Elo: 1783 | GPM: 83 | WIN
[G 324450] WR:  59.0% | Ent: 0.492 | τ: 0.95 | Elo: 1778 | GPM: 83 | loss
[G 324450] WR:  58.8% | Ent: 0.492 | τ: 0.95 | Elo: 1773 | GPM: 83 | loss
[G 324450] WR:  58.6% | Ent: 0.492 | τ: 0.95 | Elo: 1764 | GPM: 83 | loss
[G 324450] WR:  58.4% | Ent: 0.492 | τ: 0.95 | Elo: 1760 | GPM: 83 | loss
[G 324450] WR:  58.4% | Ent: 0.492 | τ: 0.95 | Elo: 1765 | GPM: 82 | WIN
[G 324450] WR:  58.4% | Ent: 0.492 | τ: 0.95 | Elo: 1771 | GPM: 82 | WIN
[G 324520] WR:  60.4% | Ent: 0.490 | τ: 0.95 | Elo: 1812 | GPM: 83 | WIN
[G 324520] WR:  60.2% | Ent: 0.490 | τ: 0.95 | Elo: 1806 | GPM: 83 | loss
[G 324520] WR:  60.4% | Ent: 0.490 | τ: 0.95 | Elo: 1807 | GPM: 83 | WIN
[G 324550] WR:  60.2% | Ent: 0.491 | τ: 0.95 | Elo: 1785 | GPM: 82 | WIN
[G 324550] WR:  60.4% | Ent: 0.491 | τ: 0.95 | Elo: 1787 | GPM: 82 | WIN
[G 324580] WR:  59.4% | Ent: 0.491 | τ: 0.95 | Elo: 1802 | GPM: 83 | loss
[G 324600] WR:  60.2% | Ent: 0.492 | τ: 0.95 | Elo: 1805 | GPM: 81 | WIN
[G 324600] WR:  60.4% | Ent: 0.492 | τ: 0.95 | Elo: 1810 | GPM: 81 | WIN
[G 324600] WR:  60.4% | Ent: 0.492 | τ: 0.95 | Elo: 1801 | GPM: 81 | loss
[G 324600] WR:  60.4% | Ent: 0.492 | τ: 0.95 | Elo: 1802 | GPM: 81 | WIN
[G 324620] WR:  59.2% | Ent: 0.492 | τ: 0.95 | Elo: 1768 | GPM: 82 | loss
[G 324620] WR:  59.4% | Ent: 0.492 | τ: 0.95 | Elo: 1775 | GPM: 82 | WIN
[G 324640] WR:  59.8% | Ent: 0.492 | τ: 0.95 | Elo: 1789 | GPM: 83 | loss
[G 324640] WR:  60.0% | Ent: 0.492 | τ: 0.95 | Elo: 1794 | GPM: 83 | WIN
[G 324640] WR:  60.0% | Ent: 0.492 | τ: 0.95 | Elo: 1801 | GPM: 83 | WIN
[G 324640] WR:  60.0% | Ent: 0.492 | τ: 0.95 | Elo: 1803 | GPM: 83 | WIN
[G 324670] WR:  59.8% | Ent: 0.493 | τ: 0.95 | Elo: 1808 | GPM: 82 | WIN
[G 324710] WR:  59.0% | Ent: 0.493 | τ: 0.95 | Elo: 1795 | GPM: 84 | loss
[G 324710] WR:  58.8% | Ent: 0.493 | τ: 0.95 | Elo: 1791 | GPM: 84 | loss
[G 324740] WR:  60.0% | Ent: 0.494 | τ: 0.95 | Elo: 1809 | GPM: 81 | WIN
[G 324740] WR:  60.2% | Ent: 0.494 | τ: 0.95 | Elo: 1810 | GPM: 81 | WIN
[G 324760] WR:  59.8% | Ent: 0.494 | τ: 0.95 | Elo: 1833 | GPM: 82 | WIN
[G 324780] WR:  59.4% | Ent: 0.494 | τ: 0.95 | Elo: 1829 | GPM: 83 | loss
[Auto-save] Checkpoint saved (game 324852)
[G 324870] WR:  59.8% | Ent: 0.494 | τ: 0.95 | Elo: 1826 | GPM: 82 | WIN
[G 324870] WR:  59.6% | Ent: 0.494 | τ: 0.95 | Elo: 1821 | GPM: 82 | loss
[G 324920] WR:  59.0% | Ent: 0.494 | τ: 0.95 | Elo: 1811 | GPM: 81 | loss
[G 324920] WR:  58.8% | Ent: 0.494 | τ: 0.95 | Elo: 1802 | GPM: 81 | loss
[G 324920] WR:  59.0% | Ent: 0.494 | τ: 0.95 | Elo: 1808 | GPM: 81 | WIN
[G 324920] WR:  59.0% | Ent: 0.494 | τ: 0.95 | Elo: 1812 | GPM: 81 | WIN
[G 324930] WR:  60.0% | Ent: 0.494 | τ: 0.95 | Elo: 1830 | GPM: 82 | loss
[G 324940] WR:  60.4% | Ent: 0.494 | τ: 0.95 | Elo: 1830 | GPM: 82 | WIN
[G 324940] WR:  60.4% | Ent: 0.494 | τ: 0.95 | Elo: 1835 | GPM: 82 | WIN
[G 324940] WR:  60.6% | Ent: 0.494 | τ: 0.95 | Elo: 1840 | GPM: 82 | WIN
[G 324950] WR:  60.8% | Ent: 0.494 | τ: 0.95 | Elo: 1839 | GPM: 82 | WIN
[G 324950] WR:  60.8% | Ent: 0.494 | τ: 0.95 | Elo: 1843 | GPM: 82 | WIN
[G 325000] WR:  59.8% | Ent: 0.494 | τ: 0.95 | Elo: 1816 | GPM: 82 | loss
[G 325000] WR:  59.6% | Ent: 0.494 | τ: 0.95 | Elo: 1810 | GPM: 82 | loss
[G 325000] WR:  59.4% | Ent: 0.494 | τ: 0.95 | Elo: 1804 | GPM: 82 | loss
[G 325000] WR:  59.6% | Ent: 0.494 | τ: 0.95 | Elo: 1808 | GPM: 82 | WIN
[G 325020] WR:  60.2% | Ent: 0.494 | τ: 0.95 | Elo: 1819 | GPM: 83 | WIN
[G 325020] WR:  60.4% | Ent: 0.494 | τ: 0.95 | Elo: 1824 | GPM: 83 | WIN
[G 325020] WR:  60.4% | Ent: 0.494 | τ: 0.95 | Elo: 1825 | GPM: 83 | WIN
[G 325070] WR:  61.6% | Ent: 0.494 | τ: 0.95 | Elo: 1839 | GPM: 83 | WIN
[G 325080] WR:  62.2% | Ent: 0.494 | τ: 0.95 | Elo: 1860 | GPM: 83 | WIN
[G 325080] WR:  62.4% | Ent: 0.494 | τ: 0.95 | Elo: 1864 | GPM: 83 | WIN
[G 325080] WR:  62.4% | Ent: 0.494 | τ: 0.95 | Elo: 1865 | GPM: 83 | WIN
[G 325080] WR:  62.6% | Ent: 0.494 | τ: 0.95 | Elo: 1870 | GPM: 83 | WIN
[G 325120] WR:  63.0% | Ent: 0.494 | τ: 0.95 | Elo: 1826 | GPM: 82 | WIN
[G 325120] WR:  63.0% | Ent: 0.494 | τ: 0.95 | Elo: 1831 | GPM: 82 | WIN
[G 325180] WR:  62.6% | Ent: 0.495 | τ: 0.95 | Elo: 1782 | GPM: 83 | loss
[G 325180] WR:  62.8% | Ent: 0.495 | τ: 0.95 | Elo: 1788 | GPM: 83 | WIN
[G 325180] WR:  62.6% | Ent: 0.495 | τ: 0.95 | Elo: 1783 | GPM: 82 | loss

--- Evaluation (500 games) ---
--- Eval Win Rate: 73.2% ---

  ↓ No improvement (1/100 patience)
[G 325190] WR:  63.0% | Ent: 0.495 | τ: 0.95 | Elo: 1791 | GPM: 78 | WIN
